"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Åland Islands","2020","Total","Both Sexes","Total","Estimate - de jure","Final figure, complete","2021","30005.5","1"
"Åland Islands","2020","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2021","268.5","1"
"Åland Islands","2020","Total","Both Sexes","0 - 4","Estimate - de jure","Final figure, complete","2021","1503","1"
"Åland Islands","2020","Total","Both Sexes","1","Estimate - de jure","Final figure, complete","2021","283","1"
"Åland Islands","2020","Total","Both Sexes","1 - 4","Estimate - de jure","Final figure, complete","2021","1234.5","1"
"Åland Islands","2020","Total","Both Sexes","2","Estimate - de jure","Final figure, complete","2021","297.5","1"
"Åland Islands","2020","Total","Both Sexes","3","Estimate - de jure","Final figure, complete","2021","320","1"
"Åland Islands","2020","Total","Both Sexes","4","Estimate - de jure","Final figure, complete","2021","334","1"
"Åland Islands","2020","Total","Both Sexes","5","Estimate - de jure","Final figure, complete","2021","337","1"
"Åland Islands","2020","Total","Both Sexes","5 - 9","Estimate - de jure","Final figure, complete","2021","1731","1"
"Åland Islands","2020","Total","Both Sexes","6","Estimate - de jure","Final figure, complete","2021","350","1"
"Åland Islands","2020","Total","Both Sexes","7","Estimate - de jure","Final figure, complete","2021","345.5","1"
"Åland Islands","2020","Total","Both Sexes","8","Estimate - de jure","Final figure, complete","2021","348","1"
"Åland Islands","2020","Total","Both Sexes","9","Estimate - de jure","Final figure, complete","2021","350.5","1"
"Åland Islands","2020","Total","Both Sexes","10","Estimate - de jure","Final figure, complete","2021","338","1"
"Åland Islands","2020","Total","Both Sexes","10 - 14","Estimate - de jure","Final figure, complete","2021","1724","1"
"Åland Islands","2020","Total","Both Sexes","11","Estimate - de jure","Final figure, complete","2021","339.5","1"
"Åland Islands","2020","Total","Both Sexes","12","Estimate - de jure","Final figure, complete","2021","353","1"
"Åland Islands","2020","Total","Both Sexes","13","Estimate - de jure","Final figure, complete","2021","356.5","1"
"Åland Islands","2020","Total","Both Sexes","14","Estimate - de jure","Final figure, complete","2021","337","1"
"Åland Islands","2020","Total","Both Sexes","15","Estimate - de jure","Final figure, complete","2021","335.5","1"
"Åland Islands","2020","Total","Both Sexes","15 - 19","Estimate - de jure","Final figure, complete","2021","1552","1"
"Åland Islands","2020","Total","Both Sexes","16","Estimate - de jure","Final figure, complete","2021","328","1"
"Åland Islands","2020","Total","Both Sexes","17","Estimate - de jure","Final figure, complete","2021","311","1"
"Åland Islands","2020","Total","Both Sexes","18","Estimate - de jure","Final figure, complete","2021","308.5","1"
"Åland Islands","2020","Total","Both Sexes","19","Estimate - de jure","Final figure, complete","2021","269","1"
"Åland Islands","2020","Total","Both Sexes","20","Estimate - de jure","Final figure, complete","2021","262.5","1"
"Åland Islands","2020","Total","Both Sexes","20 - 24","Estimate - de jure","Final figure, complete","2021","1282","1"
"Åland Islands","2020","Total","Both Sexes","21","Estimate - de jure","Final figure, complete","2021","257","1"
"Åland Islands","2020","Total","Both Sexes","22","Estimate - de jure","Final figure, complete","2021","242","1"
"Åland Islands","2020","Total","Both Sexes","23","Estimate - de jure","Final figure, complete","2021","253","1"
"Åland Islands","2020","Total","Both Sexes","24","Estimate - de jure","Final figure, complete","2021","267.5","1"
"Åland Islands","2020","Total","Both Sexes","25","Estimate - de jure","Final figure, complete","2021","279.5","1"
"Åland Islands","2020","Total","Both Sexes","25 - 29","Estimate - de jure","Final figure, complete","2021","1661.5","1"
"Åland Islands","2020","Total","Both Sexes","26","Estimate - de jure","Final figure, complete","2021","305.5","1"
"Åland Islands","2020","Total","Both Sexes","27","Estimate - de jure","Final figure, complete","2021","336.5","1"
"Åland Islands","2020","Total","Both Sexes","28","Estimate - de jure","Final figure, complete","2021","353.5","1"
"Åland Islands","2020","Total","Both Sexes","29","Estimate - de jure","Final figure, complete","2021","386.5","1"
"Åland Islands","2020","Total","Both Sexes","30","Estimate - de jure","Final figure, complete","2021","391.5","1"
"Åland Islands","2020","Total","Both Sexes","30 - 34","Estimate - de jure","Final figure, complete","2021","1885.5","1"
"Åland Islands","2020","Total","Both Sexes","31","Estimate - de jure","Final figure, complete","2021","386.5","1"
"Åland Islands","2020","Total","Both Sexes","32","Estimate - de jure","Final figure, complete","2021","385.5","1"
"Åland Islands","2020","Total","Both Sexes","33","Estimate - de jure","Final figure, complete","2021","355.5","1"
"Åland Islands","2020","Total","Both Sexes","34","Estimate - de jure","Final figure, complete","2021","366.5","1"
"Åland Islands","2020","Total","Both Sexes","35","Estimate - de jure","Final figure, complete","2021","369.5","1"
"Åland Islands","2020","Total","Both Sexes","35 - 39","Estimate - de jure","Final figure, complete","2021","1923","1"
"Åland Islands","2020","Total","Both Sexes","36","Estimate - de jure","Final figure, complete","2021","364.5","1"
"Åland Islands","2020","Total","Both Sexes","37","Estimate - de jure","Final figure, complete","2021","393.5","1"
"Åland Islands","2020","Total","Both Sexes","38","Estimate - de jure","Final figure, complete","2021","399.5","1"
"Åland Islands","2020","Total","Both Sexes","39","Estimate - de jure","Final figure, complete","2021","396","1"
"Åland Islands","2020","Total","Both Sexes","40","Estimate - de jure","Final figure, complete","2021","375","1"
"Åland Islands","2020","Total","Both Sexes","40 - 44","Estimate - de jure","Final figure, complete","2021","1866","1"
"Åland Islands","2020","Total","Both Sexes","41","Estimate - de jure","Final figure, complete","2021","360","1"
"Åland Islands","2020","Total","Both Sexes","42","Estimate - de jure","Final figure, complete","2021","352.5","1"
"Åland Islands","2020","Total","Both Sexes","43","Estimate - de jure","Final figure, complete","2021","379.5","1"
"Åland Islands","2020","Total","Both Sexes","44","Estimate - de jure","Final figure, complete","2021","399","1"
"Åland Islands","2020","Total","Both Sexes","45","Estimate - de jure","Final figure, complete","2021","381","1"
"Åland Islands","2020","Total","Both Sexes","45 - 49","Estimate - de jure","Final figure, complete","2021","1955.5","1"
"Åland Islands","2020","Total","Both Sexes","46","Estimate - de jure","Final figure, complete","2021","385","1"
"Åland Islands","2020","Total","Both Sexes","47","Estimate - de jure","Final figure, complete","2021","391.5","1"
"Åland Islands","2020","Total","Both Sexes","48","Estimate - de jure","Final figure, complete","2021","397","1"
"Åland Islands","2020","Total","Both Sexes","49","Estimate - de jure","Final figure, complete","2021","401","1"
"Åland Islands","2020","Total","Both Sexes","50","Estimate - de jure","Final figure, complete","2021","384.5","1"
"Åland Islands","2020","Total","Both Sexes","50 - 54","Estimate - de jure","Final figure, complete","2021","2132.5","1"
"Åland Islands","2020","Total","Both Sexes","51","Estimate - de jure","Final figure, complete","2021","404","1"
"Åland Islands","2020","Total","Both Sexes","52","Estimate - de jure","Final figure, complete","2021","452.5","1"
"Åland Islands","2020","Total","Both Sexes","53","Estimate - de jure","Final figure, complete","2021","448.5","1"
"Åland Islands","2020","Total","Both Sexes","54","Estimate - de jure","Final figure, complete","2021","443","1"
"Åland Islands","2020","Total","Both Sexes","55","Estimate - de jure","Final figure, complete","2021","441.5","1"
"Åland Islands","2020","Total","Both Sexes","55 - 59","Estimate - de jure","Final figure, complete","2021","2025.5","1"
"Åland Islands","2020","Total","Both Sexes","56","Estimate - de jure","Final figure, complete","2021","406","1"
"Åland Islands","2020","Total","Both Sexes","57","Estimate - de jure","Final figure, complete","2021","401","1"
"Åland Islands","2020","Total","Both Sexes","58","Estimate - de jure","Final figure, complete","2021","387","1"
"Åland Islands","2020","Total","Both Sexes","59","Estimate - de jure","Final figure, complete","2021","390","1"
"Åland Islands","2020","Total","Both Sexes","60","Estimate - de jure","Final figure, complete","2021","400","1"
"Åland Islands","2020","Total","Both Sexes","60 - 64","Estimate - de jure","Final figure, complete","2021","1906.5","1"
"Åland Islands","2020","Total","Both Sexes","61","Estimate - de jure","Final figure, complete","2021","387.5","1"
"Åland Islands","2020","Total","Both Sexes","62","Estimate - de jure","Final figure, complete","2021","379","1"
"Åland Islands","2020","Total","Both Sexes","63","Estimate - de jure","Final figure, complete","2021","372","1"
"Åland Islands","2020","Total","Both Sexes","64","Estimate - de jure","Final figure, complete","2021","368","1"
"Åland Islands","2020","Total","Both Sexes","65","Estimate - de jure","Final figure, complete","2021","385.5","1"
"Åland Islands","2020","Total","Both Sexes","65 - 69","Estimate - de jure","Final figure, complete","2021","1960.5","1"
"Åland Islands","2020","Total","Both Sexes","66","Estimate - de jure","Final figure, complete","2021","418.5","1"
"Åland Islands","2020","Total","Both Sexes","67","Estimate - de jure","Final figure, complete","2021","421","1"
"Åland Islands","2020","Total","Both Sexes","68","Estimate - de jure","Final figure, complete","2021","383","1"
"Åland Islands","2020","Total","Both Sexes","69","Estimate - de jure","Final figure, complete","2021","352.5","1"
"Åland Islands","2020","Total","Both Sexes","70","Estimate - de jure","Final figure, complete","2021","364.5","1"
"Åland Islands","2020","Total","Both Sexes","70 - 74","Estimate - de jure","Final figure, complete","2021","1888.5","1"
"Åland Islands","2020","Total","Both Sexes","71","Estimate - de jure","Final figure, complete","2021","387","1"
"Åland Islands","2020","Total","Both Sexes","72","Estimate - de jure","Final figure, complete","2021","388","1"
"Åland Islands","2020","Total","Both Sexes","73","Estimate - de jure","Final figure, complete","2021","387.5","1"
"Åland Islands","2020","Total","Both Sexes","74","Estimate - de jure","Final figure, complete","2021","361.5","1"
"Åland Islands","2020","Total","Both Sexes","75","Estimate - de jure","Final figure, complete","2021","320","1"
"Åland Islands","2020","Total","Both Sexes","75 - 79","Estimate - de jure","Final figure, complete","2021","1326.5","1"
"Åland Islands","2020","Total","Both Sexes","76","Estimate - de jure","Final figure, complete","2021","284.5","1"
"Åland Islands","2020","Total","Both Sexes","77","Estimate - de jure","Final figure, complete","2021","259.5","1"
"Åland Islands","2020","Total","Both Sexes","78","Estimate - de jure","Final figure, complete","2021","246.5","1"
"Åland Islands","2020","Total","Both Sexes","79","Estimate - de jure","Final figure, complete","2021","216","1"
"Åland Islands","2020","Total","Both Sexes","80","Estimate - de jure","Final figure, complete","2021","196.5","1"
"Åland Islands","2020","Total","Both Sexes","80 - 84","Estimate - de jure","Final figure, complete","2021","833","1"
"Åland Islands","2020","Total","Both Sexes","81","Estimate - de jure","Final figure, complete","2021","174","1"
"Åland Islands","2020","Total","Both Sexes","82","Estimate - de jure","Final figure, complete","2021","166.5","1"
"Åland Islands","2020","Total","Both Sexes","83","Estimate - de jure","Final figure, complete","2021","153.5","1"
"Åland Islands","2020","Total","Both Sexes","84","Estimate - de jure","Final figure, complete","2021","142.5","1"
"Åland Islands","2020","Total","Both Sexes","85","Estimate - de jure","Final figure, complete","2021","133","1"
"Åland Islands","2020","Total","Both Sexes","85 - 89","Estimate - de jure","Final figure, complete","2021","528.5","1"
"Åland Islands","2020","Total","Both Sexes","86","Estimate - de jure","Final figure, complete","2021","116.5","1"
"Åland Islands","2020","Total","Both Sexes","87","Estimate - de jure","Final figure, complete","2021","110.5","1"
"Åland Islands","2020","Total","Both Sexes","88","Estimate - de jure","Final figure, complete","2021","98","1"
"Åland Islands","2020","Total","Both Sexes","89","Estimate - de jure","Final figure, complete","2021","70.5","1"
"Åland Islands","2020","Total","Both Sexes","90","Estimate - de jure","Final figure, complete","2021","63.5","1"
"Åland Islands","2020","Total","Both Sexes","90 - 94","Estimate - de jure","Final figure, complete","2021","250.5","1"
"Åland Islands","2020","Total","Both Sexes","91","Estimate - de jure","Final figure, complete","2021","55.5","1"
"Åland Islands","2020","Total","Both Sexes","92","Estimate - de jure","Final figure, complete","2021","47.5","1"
"Åland Islands","2020","Total","Both Sexes","93","Estimate - de jure","Final figure, complete","2021","47.5","1"
"Åland Islands","2020","Total","Both Sexes","94","Estimate - de jure","Final figure, complete","2021","36.5","1"
"Åland Islands","2020","Total","Both Sexes","95","Estimate - de jure","Final figure, complete","2021","30","1"
"Åland Islands","2020","Total","Both Sexes","95 - 99","Estimate - de jure","Final figure, complete","2021","65","1"
"Åland Islands","2020","Total","Both Sexes","96","Estimate - de jure","Final figure, complete","2021","16","1"
"Åland Islands","2020","Total","Both Sexes","97","Estimate - de jure","Final figure, complete","2021","7","1"
"Åland Islands","2020","Total","Both Sexes","98","Estimate - de jure","Final figure, complete","2021","5.5","1"
"Åland Islands","2020","Total","Both Sexes","99","Estimate - de jure","Final figure, complete","2021","6.5","1"
"Åland Islands","2020","Total","Both Sexes","100 +","Estimate - de jure","Final figure, complete","2021","6","1"
"Åland Islands","2020","Total","Male","Total","Estimate - de jure","Final figure, complete","2021","14934","1"
"Åland Islands","2020","Total","Male","0","Estimate - de jure","Final figure, complete","2021","133.5","1"
"Åland Islands","2020","Total","Male","0 - 4","Estimate - de jure","Final figure, complete","2021","770.5","1"
